work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,EN,FT,Software Developer,800000,INR,9600,IN,0,IN,S
2024,EN,FT,Data Analyst,600000,INR,7200,IN,50,IN,M
2024,EN,FT,Frontend Developer,750000,INR,9000,IN,100,IN,S
2024,EN,FT,Backend Developer,850000,INR,10200,IN,50,IN,M
2024,EN,FT,QA Engineer,550000,INR,6600,IN,0,IN,S
2024,EN,FT,DevOps Engineer,900000,INR,10800,IN,100,IN,M
2024,EN,FT,Mobile Developer,700000,INR,8400,IN,50,IN,S
2024,EN,FT,UI/UX Designer,650000,INR,7800,IN,100,IN,M
2024,EN,FT,Business Analyst,600000,INR,7200,IN,0,IN,L
2024,EN,FT,Data Scientist,1000000,INR,12000,IN,100,IN,M
2024,MI,FT,Software Developer,1400000,INR,16800,IN,50,IN,M
2024,MI,FT,Data Analyst,1100000,INR,13200,IN,100,IN,L
2024,MI,FT,Frontend Developer,1300000,INR,15600,IN,100,IN,M
2024,MI,FT,Backend Developer,1500000,INR,18000,IN,50,IN,L
2024,MI,FT,QA Engineer,1000000,INR,12000,IN,0,IN,M
2024,MI,FT,DevOps Engineer,1600000,INR,19200,IN,100,IN,L
2024,MI,FT,Mobile Developer,1250000,INR,15000,IN,100,IN,M
2024,MI,FT,UI/UX Designer,1200000,INR,14400,IN,100,IN,L
2024,MI,FT,Business Analyst,1100000,INR,13200,IN,50,IN,L
2024,MI,FT,Data Scientist,1800000,INR,21600,IN,100,IN,L
2024,MI,FT,Product Manager,2000000,INR,24000,IN,50,IN,L
2024,MI,FT,Scrum Master,1300000,INR,15600,IN,50,IN,M
2024,MI,FT,System Administrator,1100000,INR,13200,IN,0,IN,M
2024,MI,FT,Database Administrator,1200000,INR,14400,IN,50,IN,L
2024,SE,FT,Software Developer,2200000,INR,26400,IN,50,IN,L
2024,SE,FT,Data Analyst,1800000,INR,21600,IN,100,IN,L
2024,SE,FT,Frontend Developer,2000000,INR,24000,IN,100,IN,L
2024,SE,FT,Backend Developer,2400000,INR,28800,IN,50,IN,L
2024,SE,FT,QA Engineer,1600000,INR,19200,IN,50,IN,M
2024,SE,FT,DevOps Engineer,2600000,INR,31200,IN,100,IN,L
2024,SE,FT,Mobile Developer,2100000,INR,25200,IN,100,IN,L
2024,SE,FT,UI/UX Designer,1900000,INR,22800,IN,100,IN,L
2024,SE,FT,Business Analyst,1700000,INR,20400,IN,50,IN,L
2024,SE,FT,Data Scientist,3000000,INR,36000,IN,100,IN,L
2024,SE,FT,Product Manager,3200000,INR,38400,IN,50,IN,L
2024,SE,FT,Scrum Master,2000000,INR,24000,IN,50,IN,L
2024,SE,FT,System Administrator,1800000,INR,21600,IN,0,IN,L
2024,SE,FT,Database Administrator,2000000,INR,24000,IN,50,IN,L
2024,SE,FT,Machine Learning Engineer,3500000,INR,42000,IN,100,IN,L
2024,SE,FT,Cloud Architect,3200000,INR,38400,IN,100,IN,L
2024,SE,FT,Security Engineer,2800000,INR,33600,IN,50,IN,L
2024,SE,FT,Full Stack Developer,2300000,INR,27600,IN,100,IN,L
